ID,Type,Content,Report_Count,First_Report_Date,Last_Report_Date,Organizations,Why_Reported
1,Link,http://fake-site-1.com,5,08-09-2024,04-01-2025,fbi.gov,Impersonation
2,Link,http://fake-site-2.com,1,21-06-2023,17-01-2024,antiphishing.org,Impersonation
3,Link,http://fake-site-3.com,4,04-10-2023,17-12-2023,scamwatch.gov.au,Suspicious content
4,Message,Suspicious message 4,1,05-05-2023,08-05-2024,fbi.gov,Fake job offer
5,Email,example-5@scam.com,7,20-11-2024,18-01-2025,antiphishing.org,Suspicious content
6,Email,example-6@scam.com,5,23-04-2024,26-11-2024,fbi.gov,Suspicious content
7,Message,Suspicious message 7,9,13-12-2022,28-02-2023,cybercrime.gov,Phishing attempt
8,Link,http://fake-site-8.com,3,08-01-2025,23-01-2025,antiphishing.org,Fake job offer
9,Email,example-9@scam.com,1,27-07-2023,20-12-2024,fbi.gov,Financial fraud
10,Message,Suspicious message 10,3,29-07-2023,02-03-2024,cybercrime.gov,Spam
11,Email,example-11@scam.com,9,03-09-2024,02-01-2025,scamwatch.gov.au,Scam
12,Email,example-12@scam.com,2,11-12-2023,27-03-2024,cybercrime.gov,Financial fraud
13,Message,Suspicious message 13,6,01-01-2024,25-01-2025,scamwatch.gov.au,Malware link
14,Link,http://fake-site-14.com,7,15-02-2022,21-09-2022,fbi.gov,Suspicious content
15,Message,Suspicious message 15,3,27-09-2022,05-12-2024,antiphishing.org,Scam
16,Message,Suspicious message 16,7,15-05-2024,04-11-2024,fbi.gov,Spam
17,Message,Suspicious message 17,7,29-09-2024,19-10-2024,fbi.gov,Financial fraud
18,Email,example-18@scam.com,10,07-10-2024,31-01-2025,scamwatch.gov.au,Spam
19,Link,http://fake-site-19.com,4,01-12-2023,16-10-2024,cybercrime.gov,Phishing attempt
20,Message,Suspicious message 20,7,08-05-2023,25-06-2023,fbi.gov,Spam
21,Link,http://fake-site-21.com,5,24-08-2024,28-11-2024,antiphishing.org,Spam
22,Email,example-22@scam.com,1,02-02-2022,25-11-2024,scamwatch.gov.au,Malware link
